StationID,Date,SD,SWE,Elev,Lat,Long,DOY,days without snow,number frost-defrost,accum pos degrees,average age SC,number layer,accum solid precip,accum solid precip in last 10 days,total precip last 10 days,average temp last 6 days,snowclass
50M01,1981-01-28,45.72,101.6,68.87712197214985,61.75,-150.89,150,115.0,16.0,307.07780474919366,43.32248440321412,56.0,2297.650269837619,460.99966189187296,516.669928,-2.758816874689988,6
50M01,1981-02-28,81.28,162.56,68.87712197214985,61.75,-150.89,181,134.0,22.0,307.27919501736085,59.01033474340685,63.0,3153.3973180049984,299.0308775043207,302.973461222,-3.9670175889757053,6
50M01,1981-03-31,63.5,177.8,68.87712197214985,61.75,-150.89,212,162.0,45.0,326.1027840398683,80.76806181417881,65.0,3625.3081989544226,88.81578798885582,177.56018736299998,1.2176274110242957,6
50M01,1981-04-28,40.64,127.0,68.87712197214985,61.75,-150.89,240,190.0,70.0,358.3861727942087,106.46930937386544,83.0,3726.917024053837,9.130424832259319,71.385763492,3.2323102681671685,6
50M01,1982-01-26,60.96,152.4,68.87712197214985,61.75,-150.89,148,109.0,16.0,288.0014050173605,66.17547840466048,67.0,1832.729519964516,31.378239461747473,31.444006026999997,-18.880386874690007,6
50M01,1982-03-01,68.58,157.48,68.87712197214985,61.75,-150.89,182,137.0,18.0,290.407040821862,92.5469610766793,86.0,2046.3603908510454,0.22712275379841615,0.42162835369999996,-9.41002973183285,6
50M01,1982-03-26,68.58,157.48,68.87712197214985,61.75,-150.89,207,157.0,23.0,297.6325571626978,97.3540356190373,96.0,2528.419900745331,321.87889509636545,581.89920022,-1.3476818746899824,6
50M01,1982-04-28,50.8,162.56,68.87712197214985,61.75,-150.89,240,190.0,41.0,321.112000917038,121.61425741406075,108.0,2728.9147761758004,98.80370573639317,257.2932537,2.0840624110242993,6
50M01,1983-01-28,73.66,175.26,68.87712197214985,61.75,-150.89,150,88.0,6.0,258.5542354585191,65.6154594473204,58.0,3270.755880815546,120.26695631944106,128.616392747,-11.01724401754714,6
50M01,1983-02-24,86.36,208.28000000000003,68.87712197214985,61.75,-150.89,177,101.0,7.0,258.5542354585191,81.87459489147004,65.0,3807.959649272916,146.54071508151534,146.80629233200003,-6.013701160404277,6
