StationID,Date,SD,SWE,Elev,Lat,Long,DOY,days without snow,number frost-defrost,accum pos degrees,average age SC,number layer,accum solid precip,accum solid precip in last 10 days,total precip last 10 days,average temp last 6 days,snowclass
50M01,1981-01-28,45.72,101.6,68.87712197214985,61.75,-150.89,150.0,115.0,16.0,307.07780474919366,43.32248440321412,56.0,2297.650269837619,460.99966189187296,516.669928,-2.7588168746899884,6.0
50M01,1981-02-28,81.28,162.56,68.87712197214985,61.75,-150.89,181.0,134.0,22.0,307.2791950173608,59.01033474340685,63.0,3153.397318004999,299.0308775043207,302.973461222,-3.967017588975705,6.0
50M01,1981-03-31,63.5,177.8,68.87712197214985,61.75,-150.89,212.0,162.0,45.0,326.1027840398683,80.76806181417881,65.0,3625.308198954423,88.81578798885582,177.56018736299995,1.2176274110242955,6.0
50M01,1981-04-28,40.64,127.0,68.87712197214985,61.75,-150.89,240.0,190.0,70.0,358.3861727942087,106.46930937386543,83.0,3726.9170240538374,9.13042483225932,71.385763492,3.2323102681671685,6.0
50M01,1982-01-26,60.96,152.4,68.87712197214985,61.75,-150.89,148.0,109.0,16.0,288.00140501736047,66.17547840466047,67.0,1832.729519964516,31.378239461747473,31.444006026999997,-18.880386874690007,6.0
50M01,1982-03-01,68.58,157.48,68.87712197214985,61.75,-150.89,182.0,137.0,18.0,290.407040821862,92.54696107667931,86.0,2046.3603908510452,0.2271227537984161,0.4216283537,-9.41002973183285,6.0
50M01,1982-03-26,68.58,157.48,68.87712197214985,61.75,-150.89,207.0,157.0,23.0,297.6325571626978,97.3540356190373,96.0,2528.4199007453312,321.87889509636545,581.89920022,-1.3476818746899824,6.0
50M01,1982-04-28,50.8,162.56,68.87712197214985,61.75,-150.89,240.0,190.0,41.0,321.112000917038,121.61425741406076,108.0,2728.9147761758004,98.80370573639317,257.2932537,2.0840624110243,6.0
50M01,1983-01-28,73.66,175.26,68.87712197214985,61.75,-150.89,150.0,88.0,6.0,258.5542354585191,65.61545944732039,58.0,3270.7558808155463,120.26695631944106,128.61639274700002,-11.01724401754714,6.0
50M01,1983-02-24,86.36,208.28000000000003,68.87712197214985,61.75,-150.89,177.0,101.0,7.0,258.5542354585191,81.87459489147005,65.0,3807.959649272916,146.54071508151534,146.80629233200003,-6.013701160404277,6.0
